CNPJ_CIA,NOME_CIA,ANO,SETOR,ORIGEM,DT_REFER,altman_z_pp,zona_altman,X1,X2,X3,X4,comp_ok
02.429.144/0001-93,CPFL Energia,2015,Energia,ITR,2015-03-31 03:00:00,2.157997047572793,Cinza,0.08256572647125339,0.2601354552478259,0.07368780800643471,0.2601354552478259,4
02.429.144/0001-93,CPFL Energia,2015,Energia,ITR,2015-06-30 03:00:00,2.4650398069246666,Cinza,0.07683931633445355,0.25721897976033353,0.12683929895887114,0.25721897976033353,4
02.429.144/0001-93,CPFL Energia,2015,Energia,ITR,2015-09-30 03:00:00,2.6853772319872817,Segura,0.05769410735637477,0.2517971233081069,0.18179438783802424,0.2517971233081069,4
02.429.144/0001-93,CPFL Energia,2015,Energia,DFP,2015-12-31 02:00:00,3.253625884984905,Segura,0.07361453487501415,0.24992648486691077,0.25201359917089683,0.24992648486691077,4
02.429.144/0001-93,CPFL Energia,2016,Energia,ITR,2016-03-31 03:00:00,2.327878365267557,Cinza,0.10389651219505923,0.2718210545591906,0.07065007442230015,0.2718210545591906,4
02.429.144/0001-93,CPFL Energia,2016,Energia,ITR,2016-06-30 03:00:00,2.7932862901451414,Segura,0.10434560166348382,0.268350545611919,0.1416946862567435,0.268350545611919,4
02.429.144/0001-93,CPFL Energia,2016,Energia,ITR,2016-09-30 03:00:00,3.267776049770694,Segura,0.08540184632791127,0.27837331860629677,0.2243676986110799,0.27837331860629677,4
02.429.144/0001-93,CPFL Energia,2016,Energia,DFP,2016-12-31 02:00:00,3.257203460615771,Segura,0.055979095772752986,0.2459668959174591,0.2723010819854558,0.2459668959174591,4
02.429.144/0001-93,CPFL Energia,2017,Energia,ITR,2017-03-31 03:00:00,1.679771105007236,Cinza,0.009636127621361321,0.2538373851405927,0.07775580027606419,0.2538373851405927,4
02.429.144/0001-93,CPFL Energia,2017,Energia,ITR,2017-06-30 03:00:00,1.9034464612317308,Cinza,-0.026036333977360947,0.25729649127346066,0.1436453771926493,0.25729649127346066,4
02.429.144/0001-93,CPFL Energia,2017,Energia,ITR,2017-09-30 03:00:00,2.3238630357555556,Cinza,-0.048085613934442446,0.26547109253436846,0.22248872832475744,0.26547109253436846,4
02.429.144/0001-93,CPFL Energia,2017,Energia,DFP,2017-12-31 02:00:00,2.9591601952885496,Segura,-0.04354043629480401,0.27096790071398064,0.3090645543608939,0.27096790071398064,4
02.429.144/0001-93,CPFL Energia,2018,Energia,ITR,2018-03-31 03:00:00,1.628936956265673,Cinza,-0.020933573454965982,0.2803071070725492,0.08305618551303019,0.2803071070725492,4
02.429.144/0001-93,CPFL Energia,2018,Energia,ITR,2018-06-30 03:00:00,2.3064090383557208,Cinza,-0.0010028471585357814,0.28629216042389694,0.1605756702810595,0.28629216042389694,4
02.429.144/0001-93,CPFL Energia,2018,Energia,ITR,2018-09-30 03:00:00,2.9710968587922593,Segura,0.02559842065784124,0.28149627317709625,0.23659557766124042,0.28149627317709625,4
02.429.144/0001-93,CPFL Energia,2018,Energia,DFP,2018-12-31 02:00:00,3.680005382652559,Segura,0.023386596031937247,0.2968947820654688,0.33437095267572625,0.2968947820654688,4
02.429.144/0001-93,CPFL Energia,2019,Energia,ITR,2019-03-31 03:00:00,2.072074307117271,Cinza,0.029783047964262926,0.2981095261913391,0.08807224026592775,0.2981095261913391,4
02.429.144/0001-93,CPFL Energia,2019,Energia,ITR,2019-06-30 03:00:00,3.376991606122316,Segura,0.10956204978340818,0.36475213551168256,0.16163435349520935,0.36475213551168256,4
02.429.144/0001-93,CPFL Energia,2019,Energia,ITR,2019-09-30 03:00:00,3.2820624613537603,Segura,0.021467213546224974,0.3123100629703586,0.26714005492385107,0.3123100629703586,4
02.429.144/0001-93,CPFL Energia,2019,Energia,DFP,2019-12-31 03:00:00,3.849539279118635,Segura,0.006232591629625948,0.3013555447802845,0.37348379167042606,0.3013555447802845,4
02.429.144/0001-93,CPFL Energia,2020,Energia,ITR,2020-03-31 03:00:00,2.4046856213028716,Cinza,0.07362085731273033,0.3017918602696131,0.09241218445972152,0.3017918602696131,4
02.429.144/0001-93,CPFL Energia,2020,Energia,ITR,2020-06-30 03:00:00,2.680002372832828,Segura,0.06463344347816609,0.29315056450844196,0.1476976265751003,0.29315056450844196,4
02.429.144/0001-93,CPFL Energia,2020,Energia,ITR,2020-09-30 03:00:00,3.2946986738144663,Segura,0.0580731094428281,0.29247127958338287,0.24601009834302587,0.29247127958338287,4
02.429.144/0001-93,CPFL Energia,2020,Energia,DFP,2020-12-31 03:00:00,3.5461400824373217,Segura,-0.012099077595719574,0.28989373465439183,0.3535815528429782,0.28989373465439183,4
02.429.144/0001-93,CPFL Energia,2021,Energia,ITR,2021-03-31 03:00:00,1.8500964991084714,Cinza,-0.003177813269908435,0.29151307869650156,0.09144666443112337,0.29151307869650156,4
02.429.144/0001-93,CPFL Energia,2021,Energia,ITR,2021-06-30 03:00:00,2.25843070898149,Cinza,-0.01828666014779711,0.27401756474703853,0.17818087730525345,0.27401756474703853,4
02.429.144/0001-93,CPFL Energia,2021,Energia,ITR,2021-09-30 03:00:00,3.0509450257327178,Segura,0.03117614886048699,0.24433247245306716,0.2668685316867863,0.24433247245306716,4
02.429.144/0001-93,CPFL Energia,2021,Energia,DFP,2021-12-31 03:00:00,3.674084873356844,Segura,0.03990913292368749,0.25417285252704186,0.3447613046109976,0.25417285252704186,4
02.429.144/0001-93,CPFL Energia,2022,Energia,ITR,2022-03-31 03:00:00,2.1477319168392928,Cinza,0.0519471435666016,0.2687870140685972,0.09650098577481139,0.2687870140685972,4
02.429.144/0001-93,CPFL Energia,2022,Energia,ITR,2022-06-30 03:00:00,2.1999055921200372,Cinza,-0.013664807345451101,0.21696413364051167,0.2015522786183915,0.21696413364051167,4
02.429.144/0001-93,CPFL Energia,2022,Energia,ITR,2022-09-30 03:00:00,3.077446194828578,Segura,-0.01589995588674373,0.23844798496730782,0.32054153128519647,0.23844798496730782,4
02.429.144/0001-93,CPFL Energia,2022,Energia,DFP,2022-12-31 03:00:00,4.001389769536287,Segura,0.004228834473679583,0.24653422582756174,0.4331973366178806,0.24653422582756174,4
02.429.144/0001-93,CPFL Energia,2023,Energia,ITR,2023-03-31 03:00:00,2.087567684262668,Cinza,0.026238752379011878,0.26474196695486507,0.11523862962513122,0.26474196695486507,4
02.429.144/0001-93,CPFL Energia,2023,Energia,ITR,2023-06-30 03:00:00,2.461995966896466,Cinza,-0.021957719788185663,0.26305897026313246,0.2190854831656046,0.26305897026313246,4
