cnpj,empresa,setor,ano_base,target,variavel,algoritmo,schema_len,n_feats_validos,n_perturbadas,modo,y_base,media_mc,std_mc,cv,p5,p50,p95,largura_ic,p_negativo,n_sim,sigma
02.429.144/0001-93,CPFL Energia,Energia,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,155,153,155,schema_completo,8348132.252573467,8966864.765130375,1747475.3823093285,0.19488142489945548,6746183.040426612,8879050.327526446,12162873.006602878,5416689.966176266,,500,0.15
02.429.144/0001-93,CPFL Energia,Energia,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,158,156,158,schema_completo,755853.8517622777,994497.3770834899,168921.39165232072,0.16985604542035856,777987.5736634647,986838.8283942232,1330306.3735825047,552318.79991904,0.0,500,0.15
02.429.144/0001-93,CPFL Energia,Energia,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,155,153,155,schema_completo,6330330.011586257,9264239.695994793,1741562.4447690384,0.18798762790237042,6496393.306631923,8804008.998590142,12389677.125625731,5893283.818993809,,500,0.15
02.429.144/0001-93,CPFL Energia,Energia,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,150,149,150,schema_completo,16254661.12963361,23159747.952070214,4746522.555354809,0.20494707305009877,17285007.894760504,21427421.39524889,30609052.737589285,13324044.84282878,,500,0.15
02.429.144/0001-93,CPFL Energia,Energia,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,156,154,156,schema_completo,7350580.966007571,9152377.449409936,1715018.0714011318,0.18738498066551015,7211594.901263001,9097114.416323878,11703131.477648392,4491536.576385391,,500,0.15
02.429.144/0001-93,CPFL Energia,Energia,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,154,152,154,schema_completo,3243944.801748282,4193390.2291588825,837165.6738473283,0.19963934384786516,3163275.2866923995,3829960.7042905414,5693359.688708602,2530084.402016203,,500,0.15
02.429.144/0001-93,CPFL Energia,Energia,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,153,152,153,schema_completo,6012260.583517864,7657114.812636057,1175414.7795641385,0.15350622373121858,6225062.665482991,7105652.786683133,9561720.031959912,3336657.3664769204,,500,0.15
02.429.144/0001-93,CPFL Energia,Energia,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,150,149,150,schema_completo,16254661.12963361,23065463.106744457,4660216.011696613,0.20204302814687222,17225558.761453535,21306995.114970654,29867584.32877427,12642025.567320734,,500,0.15
02.429.144/0001-93,CPFL Energia,Energia,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,154,152,154,schema_completo,1301349.0704003465,1961720.9583432027,694071.6260959329,0.3538075194354452,1121657.3410578289,1828743.7445151731,3419405.477693419,2297748.1366355903,0.0,500,0.15
02.474.103/0001-19,Engie Brasil,Energia,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,155,153,155,schema_completo,8032961.727804167,8690886.073586378,1822360.9461174684,0.2096864382627275,6506203.767774533,8432297.264871776,12464027.536188079,5957823.7684135465,,500,0.15
