setor,variavel,combinacoes,media_p50,media_cv,media_largura
Commodities,Ativo Circulante,5,10192171.390806606,0.17166298416576792,4836180.0828440245
Commodities,Ativo Total,5,21665857.759263676,0.2050594913101226,13274028.403016066
Commodities,EBITDA,5,8860007.437632356,0.18159695020272112,5767526.226427456
Commodities,FCO,5,1440236.7439658833,0.6508626232414321,1804615.6740654788
Commodities,Lucro Líquido,5,514436.0629099443,0.3913628724341692,418551.8200562369
Commodities,Passivo Circulante,5,3948955.4676544787,0.20653189782464593,2781879.943758119
Commodities,Passivo Total,5,22159560.999114107,0.201194427837317,12886693.75985192
Commodities,Patrimônio Líquido,5,7360539.518757872,0.16035027297476012,3422071.5743591017
Commodities,Receita Líquida,5,11684118.110006139,0.2081412189548605,7893342.406602549
Energia,Ativo Circulante,5,8309182.45090686,0.18796256250180568,4481010.34295419
Energia,Ativo Total,5,21410772.005096246,0.2056036303932382,13081648.122540588
Energia,EBITDA,5,8878816.940973384,0.1798370757036767,5697562.12645028
Energia,FCO,5,1437861.4998914213,0.5208063449876512,1826724.644984889
Energia,Lucro Líquido,5,1008202.2795877382,0.23335951844143793,803817.3204495704
Energia,Passivo Circulante,5,3717734.688203568,0.20817440973912552,2574925.200424923
Energia,Passivo Total,5,21115108.877417576,0.2077845162879123,12991820.900701514
Energia,Patrimônio Líquido,5,7417408.196842298,0.1562233594267326,3418420.2436024123
Energia,Receita Líquida,5,8525497.427784245,0.20120995766282634,5620747.081845139
Petróleo,Ativo Circulante,5,10626537.9831669,0.1577875826922014,5012707.66284363
Petróleo,Ativo Total,5,21998332.223286875,0.20089936492775268,12748851.638027307
Petróleo,EBITDA,5,9177145.205726113,0.1809704068468612,5910074.364574637
Petróleo,FCO,5,1448812.6682653266,0.6451525147406918,1583093.7903206428
Petróleo,Lucro Líquido,5,744730.2963763211,0.20652408643885628,418833.0987592083
Petróleo,Passivo Circulante,5,3861495.7851035213,0.20737204713059598,2697993.2561094626
Petróleo,Passivo Total,5,21598700.977291327,0.20347343472327423,13152461.912931154
Petróleo,Patrimônio Líquido,5,7211907.453387616,0.16013281863999135,3423596.244167812
Petróleo,Receita Líquida,5,13912536.494405925,0.20608955809691892,8839828.97669427
Tecnologia,Ativo Circulante,5,7122752.549737242,0.2774071670021339,4906386.585950485
Tecnologia,Ativo Total,5,21129007.546304695,0.20126572007586335,12512688.29772167
Tecnologia,EBITDA,5,8842450.980812917,0.17602749234225212,5673948.454824211
Tecnologia,FCO,5,1575467.0323387226,0.4132659319097104,2196072.527217336
Tecnologia,Lucro Líquido,5,740056.2825569264,0.26535918265036496,472610.19561814086
Tecnologia,Passivo Circulante,5,3795399.837735974,0.2063623282821422,2584013.68769224
Tecnologia,Passivo Total,5,21161240.442618378,0.20381732744496875,12760509.385821423
Tecnologia,Patrimônio Líquido,5,7264051.148921177,0.15662826612444955,3414392.315507074
Tecnologia,Receita Líquida,5,8852412.16723141,0.19696153911534595,5921201.0799414385
Varejo,Ativo Circulante,5,7683705.978079523,0.21015761075539405,4885704.773355217
Varejo,Ativo Total,5,21362068.66704175,0.2008905012436637,12862531.04209676
Varejo,EBITDA,5,9080563.428533051,0.1825647169378754,5836241.144159029
Varejo,FCO,5,1663550.7368540925,0.36994635786997876,2060509.2049159955
Varejo,Lucro Líquido,5,522912.4645663252,0.38826905339338647,531018.5131320208
Varejo,Passivo Circulante,5,3849595.7910731537,0.20745550145717226,2667544.5440209107
Varejo,Passivo Total,5,22030142.318726677,0.20089318314863433,12823007.523915362
Varejo,Patrimônio Líquido,5,7593450.993508424,0.15384968704176274,3386222.995081228
Varejo,Receita Líquida,5,8965166.005774494,0.20088735938984184,6034163.249121275
