Target,Variavel,Horizonte,Algoritmo,SchemaLen,SchemaHash,ModoEscala,N_calib,N_teste,q_hat,CoberturaReal,LarguraMedia,SMAPE_calib_med,SMAPE_teste_med
TARGET_DRE_3.01_ITR_T1,Receita Líquida,ITRT1,GradientBoosting,153,23de6ffb5146,raw,98,95,100142113.21589485,0.9052631578947369,200284226.43178964,1.999993642619982,1.9999938883771444
TARGET_DRE_3.01_ITR_T2,Receita Líquida,ITRT2,GradientBoosting,154,6e34189151ae,raw,97,48,114871731.37661582,0.8958333333333334,229743462.7532316,1.9999941011102627,1.999994003771857
TARGET_DRE_3.01_ITR_T3,Receita Líquida,ITRT3,GradientBoosting,155,634487118887,raw,96,24,138748981.32284072,0.9583333333333334,277497962.64568144,1.9999944116661041,1.999993055236588
TARGET_DRE_3.01_DFP,Receita Líquida,DFP,GradientBoosting,155,185060586427,raw,96,69,217067768.71196836,0.9565217391304348,434135537.42393667,1.9999981463636596,1.9999981878363833
TARGET_DRE_3.11_ITR_T1,Lucro Líquido,ITRT1,GradientBoosting,159,02ec885da117,raw,98,95,6497128.057319258,0.8842105263157894,12994256.114638522,1.9999268836833668,1.9999503289590446
TARGET_DRE_3.11_ITR_T2,Lucro Líquido,ITRT2,GradientBoosting,159,5912d5814096,raw,97,48,11360115.030936116,0.8958333333333334,22720230.061872233,1.9999529728127627,1.999964294209608
TARGET_DRE_3.11_ITR_T3,Lucro Líquido,ITRT3,GradientBoosting,159,b5414b7a2915,raw,96,24,13861459.986144368,0.9166666666666666,27722919.97228874,1.9999639654111396,1.9999558091471115
TARGET_DRE_3.11_DFP,Lucro Líquido,DFP,GradientBoosting,158,82f5911309d0,raw,96,69,11946541.089578738,0.9130434782608695,23893082.179157473,1.9999826845642144,1.9999754040343767
TARGET_EBITDA_ITR_T1,EBITDA,ITRT1,GradientBoosting,153,1993339a2ce5,raw,98,95,45287586.35026561,0.9157894736842105,90575172.70053123,1.9999906422441782,1.9999919721999138
TARGET_EBITDA_ITR_T2,EBITDA,ITRT2,GradientBoosting,151,b18ccde53edd,raw,97,48,45287586.34875347,0.8958333333333334,90575172.69750692,1.9999918761699842,1.999991597347183
TARGET_EBITDA_ITR_T3,EBITDA,ITRT3,GradientBoosting,154,975e9e00ff4f,raw,96,24,45287586.34097152,0.9166666666666666,90575172.68194304,1.9999932481326854,1.9999904550654044
TARGET_EBITDA_DFP,EBITDA,DFP,GradientBoosting,155,aa9bef49aa13,raw,96,69,45287586.349602945,0.8840579710144928,90575172.69920592,1.9999971829478813,1.9999970491232058
TARGET_BPA_1_ITR_T1,Ativo Total,ITRT1,RandomForest,151,738ab5d56509,raw,98,95,181679732.73310432,0.9157894736842105,363359465.46620864,1.9999983381628554,1.9999985943254506
TARGET_BPA_1_ITR_T2,Ativo Total,ITRT2,GradientBoosting,151,40e4b90b8a33,raw,97,48,185785686.97474983,0.9166666666666666,371571373.94949967,1.9999984552717258,1.9999986657713194
TARGET_BPA_1_ITR_T3,Ativo Total,ITRT3,GradientBoosting,152,1c9b533a8401,raw,96,24,190638155.90075153,0.9166666666666666,381276311.801503,1.9999985581101667,1.9999986840942496
TARGET_BPA_1_DFP,Ativo Total,DFP,GradientBoosting,150,f708a2164507,raw,96,69,193615373.36670798,0.9130434782608695,387230746.73341614,1.9999985432065073,1.9999985803752056
TARGET_BPA_1.01_ITR_T1,Ativo Circulante,ITRT1,RandomForest,152,dcf777113362,raw,98,95,67330822.7878824,0.9157894736842105,134661645.5757649,1.9999954656935364,1.9999958833249774
TARGET_BPA_1.01_ITR_T2,Ativo Circulante,ITRT2,RandomForest,153,aa0bf9de8dfc,raw,97,48,67338018.36210921,0.9166666666666666,134676036.7242184,1.99999566607389,1.9999959686413067
TARGET_BPA_1.01_ITR_T3,Ativo Circulante,ITRT3,GradientBoosting,157,9215d2e06a14,raw,96,24,67841451.31006366,0.9166666666666666,135682902.62012732,1.9999958846086452,1.999996110987909
TARGET_BPA_1.01_DFP,Ativo Circulante,DFP,GradientBoosting,156,9cd75faea1e4,raw,96,69,62983328.696134746,0.9130434782608695,125966657.39226946,1.9999958629942038,1.999995946160068
TARGET_BPP_2.01_ITR_T1,Passivo Circulante,ITRT1,GradientBoosting,153,a689526c608c,raw,98,95,59712385.840653054,0.9157894736842105,119424771.68130615,1.9999910926683895,1.9999929180266078
TARGET_BPP_2.01_ITR_T2,Passivo Circulante,ITRT2,RandomForest,155,62bc0a033d2b,raw,97,48,59727307.83949507,0.9166666666666666,119454615.67899014,1.9999912425872344,1.999992876650162
TARGET_BPP_2.01_ITR_T3,Passivo Circulante,ITRT3,RandomForest,155,151e834bf5be,raw,96,24,59314540.696458556,0.9166666666666666,118629081.39291711,1.9999920596575333,1.9999933321823948
TARGET_BPP_2.01_DFP,Passivo Circulante,DFP,GradientBoosting,154,e3f27c1ac53f,raw,96,69,48863960.900371775,0.9130434782608695,97727921.80074354,1.9999923196084688,1.999992708613265
TARGET_BPP_2.03_ITR_T1,Patrimônio Líquido,ITRT1,RandomForest,155,7ddc0ea42ea3,raw,98,95,68668211.85451818,0.9157894736842105,137336423.70903632,1.9999957682392155,1.9999960641178303
TARGET_BPP_2.03_ITR_T2,Patrimônio Líquido,ITRT2,GradientBoosting,154,dbf333a1c079,raw,97,48,68796549.53683029,0.9166666666666666,137593099.07366058,1.9999958240003888,1.999995982433091
TARGET_BPP_2.03_ITR_T3,Patrimônio Líquido,ITRT3,GradientBoosting,153,1e6f1abdfefb,raw,96,24,68927561.18276872,0.9166666666666666,137855122.36553743,1.9999960296874895,1.9999960856772265
TARGET_BPP_2.03_DFP,Patrimônio Líquido,DFP,GradientBoosting,153,3da7b39a8b92,raw,96,69,69069786.0730691,0.9130434782608695,138139572.14613813,1.9999957893030014,1.9999957833164168
TARGET_BPP_2_ITR_T1,Passivo Total,ITRT1,RandomForest,151,738ab5d56509,raw,98,95,181679732.73310432,0.9157894736842105,363359465.46620864,1.9999983381628554,1.9999985943254506
TARGET_BPP_2_ITR_T2,Passivo Total,ITRT2,GradientBoosting,151,40e4b90b8a33,raw,97,48,185785686.97474983,0.9166666666666666,371571373.94949967,1.9999984552717258,1.9999986657713194
TARGET_BPP_2_ITR_T3,Passivo Total,ITRT3,GradientBoosting,152,1c9b533a8401,raw,96,24,190638155.90075153,0.9166666666666666,381276311.801503,1.9999985581101667,1.9999986840942496
TARGET_BPP_2_DFP,Passivo Total,DFP,GradientBoosting,150,f708a2164507,raw,96,69,193615373.36670798,0.9130434782608695,387230746.73341614,1.9999985432065073,1.9999985803752056
TARGET_DFC_MI_6.01_ITR_T1,FCO,ITRT1,GradientBoosting,153,c9e92c85e7ba,raw,98,95,9746520.576851776,0.8736842105263158,19493041.15370354,1.999970397605376,1.999971438841453
TARGET_DFC_MI_6.01_ITR_T2,FCO,ITRT2,GradientBoosting,156,e1fa0e183d53,raw,97,48,10342444.866669858,0.9166666666666666,20684889.733339716,1.9999781067391131,1.9999742337429525
TARGET_DFC_MI_6.01_ITR_T3,FCO,ITRT3,GradientBoosting,156,8b54f2e714cc,raw,96,24,12792504.45090638,0.9583333333333334,25585008.90181276,1.9999824170424936,1.9999690797431513
TARGET_DFC_MI_6.01_DFP,FCO,DFP,GradientBoosting,154,81c22b6664e1,raw,96,69,22951123.88912487,0.9130434782608695,45902247.77824974,1.9999893165790923,1.9999896717352688
