empresa,setor,ano,DRE_3.01,DRE_3.11,EBITDA
CSN Mineração,Commodities,2015,15331852.0,1615951.0,24833837.0
CSN Mineração,Commodities,2016,17148949.0,-853058.0,11752622.0
CSN Mineração,Commodities,2017,18524601.0,111229.0,11649815.0
CSN Mineração,Commodities,2018,22968885.0,5200583.0,26005254.0
CSN Mineração,Commodities,2019,25436417.0,2244511.0,17350669.0
CSN Mineração,Commodities,2020,30064020.0,4292618.0,27347057.0
CSN Mineração,Commodities,2021,47912039.0,13595621.0,60435990.0
CSN Mineração,Commodities,2022,44362120.0,2167698.0,26454914.0
CSN Mineração,Commodities,2023,45437950.0,402649.0,22970625.0
CSN Mineração,Commodities,2024,43687460.0,-1538141.0,29974150.0
CSN Mineração,Commodities,2025,44797946.0,-1506726.0,23540372.0
Gerdau,Commodities,2015,43581241.0,-4595986.0,19613730.0
Gerdau,Commodities,2016,37651667.0,-2885929.0,14572582.0
Gerdau,Commodities,2017,36917619.0,-338667.0,12785304.0
Gerdau,Commodities,2018,46159478.0,2326382.0,16811108.0
Gerdau,Commodities,2019,39644010.0,1216887.0,13708924.0
Gerdau,Commodities,2020,43814661.0,2388054.0,22079129.0
Gerdau,Commodities,2021,78345081.0,15558938.0,70440348.0
Gerdau,Commodities,2022,82412210.0,11479552.0,60463169.0
Gerdau,Commodities,2023,68916447.0,7536983.0,39860187.0
Gerdau,Commodities,2024,67026656.0,4599062.0,30794818.0
Gerdau,Commodities,2025,69858532.0,1418438.0,24028068.0
Klabin,Commodities,2015,5687589.0,-1253197.0,12509680.0
Klabin,Commodities,2016,7090798.0,2481946.0,10570112.0
Klabin,Commodities,2017,8373378.0,532169.0,9352530.0
Klabin,Commodities,2018,10016461.0,186818.0,13491697.0
Klabin,Commodities,2019,10271839.0,714618.0,14427262.0
Klabin,Commodities,2020,11948794.0,-2389490.0,22190988.0
Klabin,Commodities,2021,16481388.0,3404874.0,21739206.0
Klabin,Commodities,2022,20032699.0,4688903.0,26692852.0
Klabin,Commodities,2023,18023749.0,2847388.0,22484124.0
Klabin,Commodities,2024,19645264.0,2046945.0,24406825.0
Klabin,Commodities,2025,20697507.0,1678211.0,25891931.0
Suzano,Commodities,2015,10224361.0,-925354.0,15756218.0
Suzano,Commodities,2016,9882313.0,1691998.0,13380291.0
Suzano,Commodities,2017,10520790.0,1807433.0,12993325.0
Suzano,Commodities,2018,13437329.0,318460.0,19587323.0
Suzano,Commodities,2019,26012950.0,-2814742.0,33127922.0
Suzano,Commodities,2020,30460277.0,-10714935.0,74551466.0
