feature,importancia_total,rank,familia
TARGET_BPA_1_ITR_T3_lag1,3.722481046100125,1,Lag/Roll
TARGET_BPA_1.01_ITR_T3_lag1,1.924198792951083,2,Lag/Roll
TARGET_BPP_2.03_ITR_T3_lag1,1.8485326602512684,3,Lag/Roll
TARGET_BPP_2_ITR_T2_lag2,1.7600220520772334,4,Lag/Roll
TARGET_BPP_2_ITR_T3_lag2,1.6749778129854909,5,Lag/Roll
TARGET_DRE_3.01_ITR_T3_lag1,1.3512147028501555,6,Lag/Roll
TARGET_BPA_1.01_ITR_T1_lag1,1.2762128461715887,7,Lag/Roll
TARGET_BPP_2.01_ITR_T2_lag1,1.04550816259589,8,Lag/Roll
TARGET_BPA_1.01_ITR_T2_lag1,1.0230392789775664,9,Lag/Roll
TARGET_BPP_2.01_ITR_T3_lag1,0.9652114408822945,10,Lag/Roll
TARGET_BPP_2.03_ITR_T1_lag1,0.9553481024748833,11,Lag/Roll
TARGET_BPP_2.03_ITR_T2_lag1,0.9175770689794445,12,Lag/Roll
TARGET_BPP_2.01_ITR_T2_lag2,0.8826119261758548,13,Lag/Roll
TARGET_BPP_2.01_ITR_T3_roll2_mean,0.8429189632553641,14,Lag/Roll
div_liquida_lag1,0.7792893318409156,15,Lag/Roll
TARGET_DRE_3.01_ITR_T1_lag1,0.7729040745927931,16,Lag/Roll
TARGET_DRE_3.11_ITR_T3_lag1,0.7562293878102831,17,Lag/Roll
TARGET_EBITDA_ITR_T3_lag1,0.639289628023353,18,Lag/Roll
TARGET_EBITDA_ITR_T2_roll4_mean,0.6218319980505442,19,Lag/Roll
TARGET_EBITDA_ITR_T3_roll2_mean,0.5587656066325113,20,Lag/Roll
TARGET_DRE_3.11_ITR_T3_lag2,0.5316554922983893,21,Lag/Roll
TARGET_DRE_3.11_ITR_T2_lag1,0.44643309293181543,22,Lag/Roll
TARGET_EBITDA_ITR_T1_lag1,0.4358165185331271,23,Lag/Roll
TARGET_DFC_MI_6.01_ITR_T3_lag1,0.38574123546571837,24,Lag/Roll
TARGET_DFC_MI_6.01_ITR_T2_lag1,0.3450491219338215,25,Lag/Roll
TARGET_BPA_1.01_ITR_T2_lag2,0.3449727369018982,26,Lag/Roll
