SETOR,Target,Variavel,Horizonte,Algoritmo,Modo,N_obs,Score_alinhamento,Ratio_mediano,SMAPE,MAPE,RMSE,MAE,R2,TheilU,DA,N
Commodities,TARGET_BPA_1.01_DFP,Ativo Circulante,_DFP,GradientBoosting,raw_raw,35,35.0,0.901261636781648,0.23281103793593205,0.17899507157350242,15495332.28987673,7838311.954467247,0.6647967153648531,0.362748906930608,0.9411764705882353,35
Commodities,TARGET_BPA_1.01_ITR_T1,Ativo Circulante,_ITR_T1,RandomForest,raw_raw,40,40.0,0.9590793084683618,0.08479199446456849,0.08540749777336583,4973030.883656036,3509851.4559005024,0.9566524413654589,0.12481110523345733,0.8974358974358975,40
Commodities,TARGET_BPA_1.01_ITR_T2,Ativo Circulante,_ITR_T2,RandomForest,raw_raw,30,30.0,1.0504113732926452,0.0931592866815545,0.09679936054564217,5735934.118157261,3954940.636821909,0.9462661453115101,0.14897403590525846,0.8620689655172413,30
Commodities,TARGET_BPA_1.01_ITR_T3,Ativo Circulante,_ITR_T3,GradientBoosting,raw_raw,25,25.0,1.0646856311106578,0.08736655065766702,0.08669345230061738,5623896.725792918,4021614.2250758074,0.9488234323655002,0.14332365604864858,0.9583333333333334,25
Commodities,TARGET_BPA_1_DFP,Ativo Total,_DFP,GradientBoosting,raw_raw,35,35.0,0.8623142742575743,0.2538713721175404,0.17217307941445195,85639000.82786365,35635273.53933569,0.7004817963549242,0.3453248607501597,0.9411764705882353,35
Commodities,TARGET_BPA_1_ITR_T1,Ativo Total,_ITR_T1,RandomForest,raw_raw,40,40.0,1.0438043012831622,0.08611959637648696,0.08251601381722189,23658946.24416682,16479444.468824673,0.9764938280136287,0.09309833804816019,1.0,40
Commodities,TARGET_BPA_1_ITR_T2,Ativo Total,_ITR_T2,GradientBoosting,raw_raw,30,30.0,0.9946916294970446,0.04344661629504672,0.043027624571450915,15685970.123965569,9337853.661440002,0.9898808355157812,0.06467503463650273,1.0,30
Commodities,TARGET_BPA_1_ITR_T3,Ativo Total,_ITR_T3,GradientBoosting,raw_raw,25,25.0,1.0274815574444052,0.04322458262456532,0.04301537826313786,13615236.161129266,8319104.05715919,0.9922670509921188,0.05536727084313637,1.0,25
Commodities,TARGET_BPP_2.01_DFP,Passivo Circulante,_DFP,GradientBoosting,raw_raw,35,35.0,1.0501408865873274,0.26267205171492536,0.20098006225844664,14832202.545662772,6999207.953818812,0.7276777806896682,0.33575131931279095,0.9411764705882353,35
Commodities,TARGET_BPP_2.01_ITR_T1,Passivo Circulante,_ITR_T1,GradientBoosting,raw_raw,40,40.0,1.0113973309120334,0.04997939757709634,0.05215121808105573,2187001.5466903597,1273248.625953306,0.9924360621851533,0.053561214227342925,0.9743589743589743,40
Commodities,TARGET_BPP_2.01_ITR_T2,Passivo Circulante,_ITR_T2,RandomForest,raw_raw,30,30.0,0.995675169064997,0.07829383700551494,0.07687080276931328,3194956.149584053,2050868.1185636148,0.9844135067354718,0.07740898449874188,1.0,30
Commodities,TARGET_BPP_2.01_ITR_T3,Passivo Circulante,_ITR_T3,RandomForest,raw_raw,25,25.0,0.9530817591860529,0.06897457243562619,0.06889981337836475,2379629.889874343,1577201.0183185292,0.9904904043498001,0.06059929363470085,1.0,25
Commodities,TARGET_BPP_2.03_DFP,Patrimônio Líquido,_DFP,GradientBoosting,raw_raw,35,35.0,0.7244208098245837,0.2644724877385392,0.19741519001409719,32463302.62223054,12030774.56755293,0.7832950399728564,0.29306141331143803,0.9117647058823529,35
Commodities,TARGET_BPP_2.03_ITR_T1,Patrimônio Líquido,_ITR_T1,RandomForest,raw_raw,40,40.0,1.0056619522658565,0.11388071544409817,0.10853402929100579,11521119.553450806,7417397.844054637,0.975344677194876,0.09837251975852097,0.9743589743589743,40
Commodities,TARGET_BPP_2.03_ITR_T2,Patrimônio Líquido,_ITR_T2,GradientBoosting,raw_raw,30,30.0,1.0277941146103116,0.062030439554460165,0.06358796519828495,7012160.162985769,4007505.8153634476,0.9912255304133575,0.060041268300357734,1.0,30
Commodities,TARGET_BPP_2.03_ITR_T3,Patrimônio Líquido,_ITR_T3,GradientBoosting,raw_raw,25,25.0,0.9758215937381046,0.05760871799207431,0.05744019461319299,6716665.798378907,3938704.034740897,0.9919572420226355,0.056362043445873006,1.0,25
Commodities,TARGET_BPP_2_DFP,Passivo Total,_DFP,GradientBoosting,raw_raw,35,35.0,0.8623142742575743,0.2538713721175404,0.17217307941445195,85639000.82786365,35635273.53933569,0.7004817963549242,0.3453248607501597,0.9411764705882353,35
Commodities,TARGET_BPP_2_ITR_T1,Passivo Total,_ITR_T1,RandomForest,raw_raw,40,40.0,1.043804301283164,0.08611959637648679,0.0825160138172217,23658946.2441665,16479444.468824541,0.9764938280136294,0.0930983380481589,1.0,40
Commodities,TARGET_BPP_2_ITR_T2,Passivo Total,_ITR_T2,GradientBoosting,raw_raw,30,30.0,0.9946916294970446,0.04344661629504672,0.043027624571450915,15685970.123965569,9337853.661440002,0.9898808355157812,0.06467503463650273,1.0,30
Commodities,TARGET_BPP_2_ITR_T3,Passivo Total,_ITR_T3,GradientBoosting,raw_raw,25,25.0,1.0274815574444052,0.04322458262456532,0.04301537826313786,13615236.161129266,8319104.05715919,0.9922670509921188,0.05536727084313637,1.0,25
Commodities,TARGET_DFC_MI_6.01_DFP,FCO,_DFP,GradientBoosting,raw_raw,35,35.0,1.0762268495704708,0.5339488851025167,0.42389537439941005,10041946.554915449,6016113.597244708,0.6477562995433591,0.3686820182927606,0.8823529411764706,35
Commodities,TARGET_DFC_MI_6.01_ITR_T1,FCO,_ITR_T1,GradientBoosting,raw_raw,40,40.0,0.5797109297415568,0.9281972347160755,0.7334150276343276,8234122.631242175,4648994.842361432,0.024207208158541382,0.6618828311763197,0.8974358974358975,40
Commodities,TARGET_DFC_MI_6.01_ITR_T2,FCO,_ITR_T2,GradientBoosting,raw_raw,30,30.0,0.9184572041213189,0.7925314456497399,0.5051210452822323,3053008.263705225,2380887.417083188,0.8852718810502165,0.2280473956614623,1.0,30
Commodities,TARGET_DFC_MI_6.01_ITR_T3,FCO,_ITR_T3,GradientBoosting,raw_raw,25,25.0,0.4809667498714163,1.104975585354643,0.9483601625640832,11302829.473601837,5459654.365819261,-0.4214189545847693,0.8011924792839896,0.9583333333333334,25
Commodities,TARGET_DRE_3.01_DFP,Receita Líquida,_DFP,GradientBoosting,raw_raw,35,35.0,0.8621570438441309,0.23373667529494954,0.1784809728051244,35912886.3697628,15577944.789491994,0.7187978640167902,0.33232343806623815,0.9411764705882353,35
Commodities,TARGET_DRE_3.01_ITR_T1,Receita Líquida,_ITR_T1,GradientBoosting,raw_raw,40,40.0,1.0039649195041573,0.11570806924228645,0.11182316973872146,5909824.845279345,3261714.7979444917,0.970411466980926,0.11600705641244353,1.0,40
Commodities,TARGET_DRE_3.01_ITR_T2,Receita Líquida,_ITR_T2,GradientBoosting,raw_raw,30,30.0,0.9549641812403481,0.09877031175245668,0.10374163660324225,6190509.394001329,3698455.30119442,0.9728893604394705,0.11080039434812994,1.0,30
Commodities,TARGET_DRE_3.01_ITR_T3,Receita Líquida,_ITR_T3,GradientBoosting,raw_raw,25,25.0,0.9870109295101822,0.10709506563230387,0.11477678112463136,6269619.701586955,3943924.696190871,0.9749896522850646,0.1178873733512227,1.0,25
Commodities,TARGET_DRE_3.11_DFP,Lucro Líquido,_DFP,GradientBoosting,raw_raw,35,35.0,0.5520266943349146,1.0349861276930246,0.7220278731780538,10245310.580465408,5625322.019192705,-0.12819870152177204,0.6503057495962008,0.8529411764705882,35
Commodities,TARGET_DRE_3.11_ITR_T1,Lucro Líquido,_ITR_T1,GradientBoosting,raw_raw,40,40.0,0.7852346151277829,0.7580332724787503,0.4817397498887493,5355693.76005318,2667518.1572986087,0.6457415682485056,0.37382087342298936,0.9743589743589743,40
Commodities,TARGET_DRE_3.11_ITR_T2,Lucro Líquido,_ITR_T2,GradientBoosting,raw_raw,30,30.0,0.26646190383231805,1.2039919549209475,11.424886181898923,20079306.38451539,8020617.9433499165,-3.1828228363105717,0.6678050335502881,0.8275862068965517,30
Commodities,TARGET_DRE_3.11_ITR_T3,Lucro Líquido,_ITR_T3,GradientBoosting,raw_raw,25,25.0,0.07537837025003508,1.4723310055238028,0.8006944075130924,8674352.775778305,4975998.931724887,0.24778282602361745,0.5682716634947547,0.8333333333333334,25
Commodities,TARGET_EBITDA_DFP,EBITDA,_DFP,GradientBoosting,raw_raw,35,35.0,0.9409123790574525,0.10909067062919353,0.10412990541023187,5320671.512142241,3392398.233150703,0.6938429457426218,0.34759529455342414,0.8529411764705882,35
Commodities,TARGET_EBITDA_ITR_T1,EBITDA,_ITR_T1,GradientBoosting,raw_raw,40,40.0,0.6718134428406461,0.30554560938040953,0.22039973519123235,10686893.986287594,4988112.862019941,0.553097489058497,0.4036535859616234,0.9230769230769231,40
Commodities,TARGET_EBITDA_ITR_T2,EBITDA,_ITR_T2,GradientBoosting,raw_raw,30,30.0,1.0922014302857859,0.15135438410533866,0.18262947462317944,2661653.812966965,2270910.781240457,0.9713670128150612,0.11985289792793359,0.8275862068965517,30
Commodities,TARGET_EBITDA_ITR_T3,EBITDA,_ITR_T3,GradientBoosting,raw_raw,25,25.0,0.9814094710892126,0.08982184651752133,0.09817229243710873,1959294.731054911,1484603.2891439816,0.9844024031881993,0.06952644649349896,0.8333333333333334,25
Energia,TARGET_BPA_1.01_DFP,Ativo Circulante,_DFP,GradientBoosting,raw_raw,35,35.0,1.1391331812411036,0.1595020649059666,0.16979308263436743,3021913.8248010273,2102166.9460989707,0.8798184204288773,0.22632517042918956,0.8529411764705882,35
Energia,TARGET_BPA_1.01_ITR_T1,Ativo Circulante,_ITR_T1,RandomForest,raw_raw,40,40.0,0.7976117225823912,0.14375665540791122,0.14927448306529403,4702835.218233057,2690096.3010547594,0.7131513692177174,0.35605812770853945,1.0,40
Energia,TARGET_BPA_1.01_ITR_T2,Ativo Circulante,_ITR_T2,RandomForest,raw_raw,30,30.0,0.8213537727003386,0.11811397357582946,0.11578296949925757,2914520.912762991,1806578.9519275061,0.8883972398234671,0.2119205979623697,1.0,30
Energia,TARGET_BPA_1.01_ITR_T3,Ativo Circulante,_ITR_T3,GradientBoosting,raw_raw,25,25.0,0.9179152852654655,0.08518192348713086,0.0838903304195486,2180273.4354239153,1206807.1458295877,0.9451097341469933,0.15164107791312392,1.0,25
Energia,TARGET_BPA_1_DFP,Ativo Total,_DFP,GradientBoosting,raw_raw,35,35.0,0.8449347817894333,0.18441842447251564,0.13985566985754283,20388837.11355589,9601847.54014377,0.5725241650202868,0.43919967410781485,0.9705882352941176,35
Energia,TARGET_BPA_1_ITR_T1,Ativo Total,_ITR_T1,RandomForest,raw_raw,40,40.0,0.9603311758263657,0.1087702841231402,0.09858390991824953,6707576.5357084265,4851305.559583897,0.9563736385655093,0.14070471407248705,1.0,40
