SETOR,Target,N_obs_raw,N_obs_validas,Modo,Score_alinhamento,Ratio_mediano
Commodities,TARGET_BPA_1.01_DFP,35,35,raw_raw,39.0,0.901261636781648
Commodities,TARGET_BPA_1.01_ITR_T1,40,40,raw_raw,44.0,0.9590793084683618
Commodities,TARGET_BPA_1.01_ITR_T2,30,30,raw_raw,34.0,1.0504113732926452
Commodities,TARGET_BPA_1.01_ITR_T3,25,25,raw_raw,29.0,1.0646856311106578
Commodities,TARGET_BPA_1_DFP,35,35,raw_raw,39.0,0.8623142742575743
Commodities,TARGET_BPA_1_ITR_T1,40,40,raw_raw,44.0,1.0438043012831622
Commodities,TARGET_BPA_1_ITR_T2,30,30,raw_raw,34.0,0.9946916294970446
Commodities,TARGET_BPA_1_ITR_T3,25,25,raw_raw,29.0,1.0274815574444052
Commodities,TARGET_BPP_2.01_DFP,35,35,raw_raw,39.0,1.0501408865873274
Commodities,TARGET_BPP_2.01_ITR_T1,40,40,raw_raw,44.0,1.0113973309120334
Commodities,TARGET_BPP_2.01_ITR_T2,30,30,raw_raw,34.0,0.995675169064997
Commodities,TARGET_BPP_2.01_ITR_T3,25,25,raw_raw,29.0,0.9530817591860529
Commodities,TARGET_BPP_2.03_DFP,35,35,raw_raw,39.0,0.7244208098245837
Commodities,TARGET_BPP_2.03_ITR_T1,40,40,raw_raw,44.0,1.0056619522658565
Commodities,TARGET_BPP_2.03_ITR_T2,30,30,raw_raw,34.0,1.0277941146103116
Commodities,TARGET_BPP_2.03_ITR_T3,25,25,raw_raw,29.0,0.9758215937381046
Commodities,TARGET_BPP_2_DFP,35,35,raw_raw,39.0,0.8623142742575743
Commodities,TARGET_BPP_2_ITR_T1,40,40,raw_raw,44.0,1.043804301283164
Commodities,TARGET_BPP_2_ITR_T2,30,30,raw_raw,34.0,0.9946916294970446
Commodities,TARGET_BPP_2_ITR_T3,25,25,raw_raw,29.0,1.0274815574444052
Commodities,TARGET_DFC_MI_6.01_DFP,35,35,raw_raw,39.0,1.0762268495704708
Commodities,TARGET_DFC_MI_6.01_ITR_T1,40,40,raw_raw,44.0,0.5797109297415568
Commodities,TARGET_DFC_MI_6.01_ITR_T2,30,30,raw_raw,34.0,0.9184572041213189
Commodities,TARGET_DFC_MI_6.01_ITR_T3,25,25,raw_raw,29.0,0.4809667498714163
Commodities,TARGET_DRE_3.01_DFP,35,35,raw_raw,39.0,0.8621570438441309
Commodities,TARGET_DRE_3.01_ITR_T1,40,40,raw_raw,44.0,1.0039649195041573
Commodities,TARGET_DRE_3.01_ITR_T2,30,30,raw_raw,34.0,0.9549641812403481
Commodities,TARGET_DRE_3.01_ITR_T3,25,25,raw_raw,29.0,0.9870109295101822
Commodities,TARGET_DRE_3.11_DFP,35,35,raw_raw,39.0,0.5520266943349146
Commodities,TARGET_DRE_3.11_ITR_T1,40,40,raw_raw,44.0,0.7852346151277829
Commodities,TARGET_DRE_3.11_ITR_T2,30,30,raw_raw,34.0,0.26646190383231805
Commodities,TARGET_DRE_3.11_ITR_T3,25,25,raw_raw,24.0,0.07537837025003508
Commodities,TARGET_EBITDA_DFP,35,35,raw_raw,39.0,0.9409123790574525
Commodities,TARGET_EBITDA_ITR_T1,40,40,raw_raw,44.0,0.6718134428406461
Commodities,TARGET_EBITDA_ITR_T2,30,30,raw_raw,34.0,1.0922014302857859
Commodities,TARGET_EBITDA_ITR_T3,25,25,raw_raw,29.0,0.9814094710892126
Energia,TARGET_BPA_1.01_DFP,35,35,raw_raw,39.0,1.1391331812411036
Energia,TARGET_BPA_1.01_ITR_T1,40,40,raw_raw,44.0,0.7976117225823912
Energia,TARGET_BPA_1.01_ITR_T2,30,30,raw_raw,34.0,0.8213537727003386
Energia,TARGET_BPA_1.01_ITR_T3,25,25,raw_raw,29.0,0.9179152852654655
Energia,TARGET_BPA_1_DFP,35,35,raw_raw,39.0,0.8449347817894333
Energia,TARGET_BPA_1_ITR_T1,40,40,raw_raw,44.0,0.9603311758263657
Energia,TARGET_BPA_1_ITR_T2,30,30,raw_raw,34.0,1.0065909870269079
Energia,TARGET_BPA_1_ITR_T3,25,25,raw_raw,29.0,0.965200019839784
Energia,TARGET_BPP_2.01_DFP,35,35,raw_raw,39.0,1.0569618582597338
Energia,TARGET_BPP_2.01_ITR_T1,40,40,raw_raw,44.0,1.0010018445144
Energia,TARGET_BPP_2.01_ITR_T2,30,30,raw_raw,34.0,0.9783534195896052
Energia,TARGET_BPP_2.01_ITR_T3,25,25,raw_raw,29.0,1.0594139637828643
Energia,TARGET_BPP_2.03_DFP,35,35,raw_raw,39.0,0.8850896223942163
Energia,TARGET_BPP_2.03_ITR_T1,40,40,raw_raw,44.0,0.9725800277939852
Energia,TARGET_BPP_2.03_ITR_T2,30,30,raw_raw,34.0,0.9589241016543653
Energia,TARGET_BPP_2.03_ITR_T3,25,25,raw_raw,29.0,0.9923138732305207
Energia,TARGET_BPP_2_DFP,35,35,raw_raw,39.0,0.8449347817894333
Energia,TARGET_BPP_2_ITR_T1,40,40,raw_raw,44.0,0.9603311758263675
Energia,TARGET_BPP_2_ITR_T2,30,30,raw_raw,34.0,1.0065909870269079
Energia,TARGET_BPP_2_ITR_T3,25,25,raw_raw,29.0,0.965200019839784
Energia,TARGET_DFC_MI_6.01_DFP,35,35,raw_raw,39.0,0.7762168364320122
Energia,TARGET_DFC_MI_6.01_ITR_T1,40,40,raw_raw,44.0,0.7239465560032884
Energia,TARGET_DFC_MI_6.01_ITR_T2,30,30,raw_raw,34.0,0.5770672639174916
Energia,TARGET_DFC_MI_6.01_ITR_T3,25,25,raw_raw,29.0,0.42341705023694176
Energia,TARGET_DRE_3.01_DFP,35,35,raw_raw,39.0,0.9015611857598869
Energia,TARGET_DRE_3.01_ITR_T1,40,40,raw_raw,44.0,0.8923938158564486
Energia,TARGET_DRE_3.01_ITR_T2,30,30,raw_raw,34.0,0.8133335105290977
Energia,TARGET_DRE_3.01_ITR_T3,25,25,raw_raw,29.0,0.91166074938481
Energia,TARGET_DRE_3.11_DFP,35,35,raw_raw,39.0,1.203124397149871
Energia,TARGET_DRE_3.11_ITR_T1,40,40,raw_raw,44.0,0.9120311653911851
Energia,TARGET_DRE_3.11_ITR_T2,30,30,raw_raw,34.0,0.8797442657792492
Energia,TARGET_DRE_3.11_ITR_T3,25,25,raw_raw,29.0,0.7977659503715261
Energia,TARGET_EBITDA_DFP,35,35,raw_raw,39.0,0.9007200618947462
Energia,TARGET_EBITDA_ITR_T1,40,40,raw_raw,44.0,0.908806779659391
Energia,TARGET_EBITDA_ITR_T2,30,30,raw_raw,34.0,1.0313275969412037
Energia,TARGET_EBITDA_ITR_T3,25,25,raw_raw,29.0,1.0309135349666818
Petróleo,TARGET_BPA_1.01_DFP,32,32,raw_raw,36.0,1.064620717377075
Petróleo,TARGET_BPA_1.01_ITR_T1,39,39,raw_raw,43.0,0.8658248828515954
Petróleo,TARGET_BPA_1.01_ITR_T2,30,30,raw_raw,34.0,0.921505278282767
Petróleo,TARGET_BPA_1.01_ITR_T3,25,25,raw_raw,29.0,1.0177977386469748
Petróleo,TARGET_BPA_1_DFP,32,32,raw_raw,36.0,0.9807706266571784
Petróleo,TARGET_BPA_1_ITR_T1,39,39,raw_raw,43.0,1.0347921772186823
Petróleo,TARGET_BPA_1_ITR_T2,30,30,raw_raw,34.0,1.012743056911788
Petróleo,TARGET_BPA_1_ITR_T3,25,25,raw_raw,29.0,0.9889441236527361
Petróleo,TARGET_BPP_2.01_DFP,32,32,raw_raw,36.0,0.9882289419640052
Petróleo,TARGET_BPP_2.01_ITR_T1,39,39,raw_raw,43.0,0.9962012410925789
Petróleo,TARGET_BPP_2.01_ITR_T2,30,30,raw_raw,34.0,1.0501847990389457
Petróleo,TARGET_BPP_2.01_ITR_T3,25,25,raw_raw,29.0,0.9860359698564021
Petróleo,TARGET_BPP_2.03_DFP,32,32,raw_raw,36.0,0.9651567204314392
Petróleo,TARGET_BPP_2.03_ITR_T1,39,39,raw_raw,43.0,1.051193616169505
Petróleo,TARGET_BPP_2.03_ITR_T2,30,30,raw_raw,34.0,1.0010657467825774
Petróleo,TARGET_BPP_2.03_ITR_T3,25,25,raw_raw,29.0,1.0053135414489567
Petróleo,TARGET_BPP_2_DFP,32,32,raw_raw,36.0,0.9807706266571784
Petróleo,TARGET_BPP_2_ITR_T1,39,39,raw_raw,43.0,1.034792177218675
Petróleo,TARGET_BPP_2_ITR_T2,30,30,raw_raw,34.0,1.012743056911788
Petróleo,TARGET_BPP_2_ITR_T3,25,25,raw_raw,29.0,0.9889441236527361
Petróleo,TARGET_DFC_MI_6.01_DFP,32,32,raw_raw,36.0,0.7180158015965504
Petróleo,TARGET_DFC_MI_6.01_ITR_T1,39,39,raw_raw,38.0,0.05217648736709476
Petróleo,TARGET_DFC_MI_6.01_ITR_T2,30,30,raw_raw,32.0,0.11443187948442914
Petróleo,TARGET_DFC_MI_6.01_ITR_T3,25,25,raw_raw,27.0,0.13295354590271202
Petróleo,TARGET_DRE_3.01_DFP,32,32,raw_raw,36.0,0.8254687759853551
