cnpj,empresa,setor,ano_base,target,variavel,algoritmo,y_pred_2026_bi
33.042.730/0001-04,CSN Mineração,Commodities,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,8.9613
33.042.730/0001-04,CSN Mineração,Commodities,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,22.2416
33.042.730/0001-04,CSN Mineração,Commodities,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,18.4301
33.042.730/0001-04,CSN Mineração,Commodities,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,0.1931
33.042.730/0001-04,CSN Mineração,Commodities,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,0.0
33.042.730/0001-04,CSN Mineração,Commodities,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,5.0174
33.042.730/0001-04,CSN Mineração,Commodities,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,22.2416
33.042.730/0001-04,CSN Mineração,Commodities,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,5.1257
33.042.730/0001-04,CSN Mineração,Commodities,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,10.2962
33.611.500/0001-19,Gerdau,Commodities,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,9.6994
33.611.500/0001-19,Gerdau,Commodities,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,23.5379
33.611.500/0001-19,Gerdau,Commodities,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,17.08
33.611.500/0001-19,Gerdau,Commodities,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,2.063
33.611.500/0001-19,Gerdau,Commodities,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,0.5929
33.611.500/0001-19,Gerdau,Commodities,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,3.7194
33.611.500/0001-19,Gerdau,Commodities,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,23.5379
33.611.500/0001-19,Gerdau,Commodities,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,6.8005
33.611.500/0001-19,Gerdau,Commodities,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,23.26
89.637.490/0001-45,Klabin,Commodities,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,9.3311
89.637.490/0001-45,Klabin,Commodities,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,22.6791
89.637.490/0001-45,Klabin,Commodities,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,17.8804
89.637.490/0001-45,Klabin,Commodities,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,2.9934
89.637.490/0001-45,Klabin,Commodities,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,0.0001
89.637.490/0001-45,Klabin,Commodities,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,3.9149
89.637.490/0001-45,Klabin,Commodities,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,22.6791
89.637.490/0001-45,Klabin,Commodities,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,5.4742
89.637.490/0001-45,Klabin,Commodities,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,15.8505
16.404.287/0001-55,Suzano,Commodities,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,8.7039
16.404.287/0001-55,Suzano,Commodities,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,24.3352
16.404.287/0001-55,Suzano,Commodities,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,26.2507
16.404.287/0001-55,Suzano,Commodities,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,2.5511
16.404.287/0001-55,Suzano,Commodities,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,2.2218
16.404.287/0001-55,Suzano,Commodities,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,4.33
16.404.287/0001-55,Suzano,Commodities,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,24.3352
16.404.287/0001-55,Suzano,Commodities,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,6.9183
16.404.287/0001-55,Suzano,Commodities,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,11.0747
33.592.510/0001-54,Vale,Commodities,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,25.4341
33.592.510/0001-54,Vale,Commodities,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,76.9428
