CNPJ_CIA,DT_REFER,ORIGEM,Target,Horizonte,Algoritmo,y_pred
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_DRE_3.01_ITR_T1,_ITR_T1,GradientBoosting,14482709.42346286
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_DRE_3.01_ITR_T1,_ITR_T1,GradientBoosting,50968348.750054225
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_DRE_3.01_ITR_T1,_ITR_T1,GradientBoosting,22628436.461078364
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_DRE_3.01_ITR_T1,_ITR_T1,GradientBoosting,13072480.589930296
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_DRE_3.01_ITR_T2,_ITR_T2,GradientBoosting,12352347.903975215
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_DRE_3.01_ITR_T2,_ITR_T2,GradientBoosting,37234960.65220579
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_DRE_3.01_ITR_T2,_ITR_T2,GradientBoosting,19500240.87861187
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_DRE_3.01_ITR_T2,_ITR_T2,GradientBoosting,10368701.481903477
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_DRE_3.01_ITR_T3,_ITR_T3,GradientBoosting,2924408.0571574816
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_DRE_3.01_ITR_T3,_ITR_T3,GradientBoosting,4424535.644470485
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_DRE_3.01_ITR_T3,_ITR_T3,GradientBoosting,3206961.904266992
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_DRE_3.01_ITR_T3,_ITR_T3,GradientBoosting,2529204.093113504
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_DRE_3.01_DFP,_DFP,GradientBoosting,12513768.536936792
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_DRE_3.01_DFP,_DFP,GradientBoosting,21317096.84630626
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_DRE_3.01_DFP,_DFP,GradientBoosting,17717945.027691826
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_DRE_3.01_DFP,_DFP,GradientBoosting,8796841.09557358
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_DRE_3.11_ITR_T1,_ITR_T1,GradientBoosting,195982.97634544355
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_DRE_3.11_ITR_T1,_ITR_T1,GradientBoosting,326919.51099601766
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_DRE_3.11_ITR_T1,_ITR_T1,GradientBoosting,185407.07762909686
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_DRE_3.11_ITR_T1,_ITR_T1,GradientBoosting,336593.55114366114
16.404.287/0001-55,2026-03-31 03:00:00,ITR,TARGET_DRE_3.11_ITR_T2,_ITR_T2,GradientBoosting,331057.6212963483
33.592.510/0001-54,2026-03-31 03:00:00,ITR,TARGET_DRE_3.11_ITR_T2,_ITR_T2,GradientBoosting,286953.3103574413
33.611.500/0001-19,2026-03-31 03:00:00,ITR,TARGET_DRE_3.11_ITR_T2,_ITR_T2,GradientBoosting,545364.2941828007
84.429.695/0001-11,2026-03-31 03:00:00,ITR,TARGET_DRE_3.11_ITR_T2,_ITR_T2,GradientBoosting,728983.9366864266
