CNPJ_CIA,DT_REFER,Target,Algoritmo,y_true,y_pred,erro
02.429.144/0001-93,2024-03-31 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,19827710.0,13391969.955176538,6435740.044823462
02.429.144/0001-93,2024-06-30 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,30682162.0,16454656.209528847,14227505.790471153
02.429.144/0001-93,2024-09-30 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,10655220.0,8910643.903358389,1744576.0966416113
02.429.144/0001-93,2024-12-31 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,10655220.0,6856886.655568107,3798333.344431893
02.429.144/0001-93,2025-03-31 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,21204346.0,13234808.021546984,7969537.978453016
02.429.144/0001-93,2025-06-30 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,32533487.0,21596823.745780405,10936663.254219595
02.429.144/0001-93,2025-09-30 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,11341533.0,9597510.216338145,1744022.7836618554
02.429.144/0001-93,2025-12-31 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,11341533.0,7099198.305281807,4242334.694718193
02.474.103/0001-19,2024-03-31 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,5410880.0,2338390.681566787,3072489.318433213
02.474.103/0001-19,2024-06-30 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,7947729.0,3225396.545595446,4722332.454404553
02.474.103/0001-19,2024-09-30 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,3013069.0,2359968.148406945,653100.8515930548
02.474.103/0001-19,2024-12-31 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,3013069.0,2281935.816172269,731133.1838277308
02.474.103/0001-19,2025-03-31 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,6099190.0,4602087.064265897,1497102.9357341034
02.474.103/0001-19,2025-06-30 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,9442446.0,5957440.635257786,3485005.364742214
02.474.103/0001-19,2025-09-30 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,3408657.0,3276139.9912790274,132517.00872097258
02.474.103/0001-19,2025-12-31 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,3408657.0,2809241.6037349356,599415.3962650644
02.998.611/0001-04,2024-03-31 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,3640760.0,1696813.7488150466,1943946.2511849534
02.998.611/0001-04,2024-06-30 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,5446511.0,1818661.251177928,3627849.748822072
02.998.611/0001-04,2024-09-30 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,2412040.0,1029881.6399520821,1382158.3600479178
02.998.611/0001-04,2024-12-31 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,2412040.0,1044664.4687339638,1367375.5312660362
02.998.611/0001-04,2025-03-31 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,3844914.0,1840339.9466702454,2004574.0533297546
02.998.611/0001-04,2025-06-30 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,6403885.0,2829215.9803817007,3574669.0196182993
02.998.611/0001-04,2025-09-30 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,2510755.0,1580311.7679540939,930443.2320459061
02.998.611/0001-04,2025-12-31 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,2510755.0,1333915.2709044614,1176839.7290955386
03.220.438/0001-73,2024-03-31 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,20385326.0,9979729.60087667,10405596.39912333
03.220.438/0001-73,2024-06-30 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,32748621.0,13371255.047265824,19377365.952734176
03.220.438/0001-73,2024-09-30 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,11709093.0,12785047.78312546,-1075954.7831254601
03.220.438/0001-73,2024-12-31 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,11709093.0,8982392.556712395,2726700.4432876054
03.220.438/0001-73,2025-03-31 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,24504420.0,10922442.052798022,13581977.947201978
03.220.438/0001-73,2025-06-30 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,38649516.0,21528263.95070187,17121252.04929813
03.220.438/0001-73,2025-09-30 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,12749940.0,14226075.081302518,-1476135.081302518
03.220.438/0001-73,2025-12-31 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,12749940.0,9273690.415659914,3476249.584340086
07.859.971/0001-30,2024-03-31 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,1640592.0,1812038.710301481,-171446.71030148095
07.859.971/0001-30,2024-06-30 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,2631581.0,2140720.4142884426,490860.5857115574
07.859.971/0001-30,2024-09-30 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,982893.0,1307490.0496085682,-324597.0496085682
07.859.971/0001-30,2024-12-31 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,982893.0,1281106.7566297958,-298213.75662979577
07.859.971/0001-30,2025-03-31 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,2244721.0,1860907.1293613657,383813.8706386343
07.859.971/0001-30,2025-06-30 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,3425278.0,2724425.8483343697,700852.1516656303
07.859.971/0001-30,2025-09-30 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,1037354.0,1614350.4081134894,-576996.4081134894
07.859.971/0001-30,2025-12-31 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,1037354.0,1347999.6112914684,-310645.6112914684
10.629.105/0001-68,2024-03-31 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,7795227.0,6614713.434593265,1180513.565406735
10.629.105/0001-68,2024-06-30 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,11373515.0,6006934.945432106,5366580.054567894
10.629.105/0001-68,2024-09-30 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,4440809.0,3684182.4936838383,756626.5063161617
10.629.105/0001-68,2024-12-31 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,4440809.0,2818235.034470178,1622573.9655298218
10.629.105/0001-68,2025-03-31 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,7768599.0,12011517.880903004,-4242918.880903004
10.629.105/0001-68,2025-06-30 03:00:00,TARGET_DRE_3.01_ITR_T1,Ridge,11331681.0,9687628.43369701,1644052.5663029905
