Target,Variavel,Horizonte,Algoritmo,Modo,N_obs,SMAPE,residuo_media,residuo_mediana,superestimacao_pct,score_alinhamento,ratio_mediano
TARGET_BPA_1.01_DFP,Ativo Circulante,_DFP,GradientBoosting,raw_raw,165,0.17598903314304304,1885618.76443647,115897.84764293116,0.46060606060606063,169.0,0.8054537283526043
TARGET_BPA_1.01_ITR_T1,Ativo Circulante,_ITR_T1,RandomForest,raw_raw,193,0.12142333721525493,-673423.5740989384,112769.60450601205,0.46113989637305697,197.0,0.991872390938786
TARGET_BPA_1.01_ITR_T2,Ativo Circulante,_ITR_T2,RandomForest,raw_raw,145,0.11232937592643073,-326859.3953159016,-85250.08351544105,0.5172413793103449,149.0,0.967633272140737
TARGET_BPA_1.01_ITR_T3,Ativo Circulante,_ITR_T3,GradientBoosting,raw_raw,120,0.0873473533333855,79188.64481484191,-19781.272576148156,0.5083333333333333,124.0,1.0033656435490446
TARGET_BPA_1_DFP,Ativo Total,_DFP,GradientBoosting,raw_raw,165,0.1830496755531431,21107230.299536336,923215.8852444142,0.3151515151515151,169.0,0.8778265058715247
TARGET_BPA_1_ITR_T1,Ativo Total,_ITR_T1,RandomForest,raw_raw,193,0.09969813841168321,11181865.61993036,1073875.703276977,0.36787564766839376,197.0,1.012858071592097
TARGET_BPA_1_ITR_T2,Ativo Total,_ITR_T2,GradientBoosting,raw_raw,145,0.0750613932587303,6807142.275841205,448911.6075541675,0.3586206896551724,149.0,0.9408936582067199
TARGET_BPA_1_ITR_T3,Ativo Total,_ITR_T3,GradientBoosting,raw_raw,120,0.06455566877678859,7028501.473561465,45652.47539495304,0.48333333333333334,124.0,0.9379979861558281
TARGET_EBITDA_DFP,EBITDA,_DFP,GradientBoosting,raw_raw,165,0.11126185512835053,1051781.8038029016,397175.0891387054,0.3575757575757576,169.0,0.9296196713031601
TARGET_EBITDA_ITR_T1,EBITDA,_ITR_T1,GradientBoosting,raw_raw,193,0.27134567529174053,2127504.8152515097,235956.0023034932,0.38341968911917096,197.0,0.7971878341473527
TARGET_EBITDA_ITR_T2,EBITDA,_ITR_T2,GradientBoosting,raw_raw,145,0.15960360401782858,564661.0025945837,217761.59330964088,0.41379310344827586,149.0,1.1848750085092323
TARGET_EBITDA_ITR_T3,EBITDA,_ITR_T3,GradientBoosting,raw_raw,120,0.09830607676775145,-188834.19261701553,-15179.98408596305,0.5083333333333333,124.0,1.2160388549164698
TARGET_DFC_MI_6.01_DFP,FCO,_DFP,GradientBoosting,raw_raw,165,0.7743094016478048,2048056.0816971692,608359.4119530497,0.3212121212121212,169.0,0.6823661684057003
TARGET_DFC_MI_6.01_ITR_T1,FCO,_ITR_T1,GradientBoosting,raw_raw,193,1.2265432851787692,1686666.92231754,226504.00848259495,0.33678756476683935,195.0,0.1565944077155725
TARGET_DFC_MI_6.01_ITR_T2,FCO,_ITR_T2,GradientBoosting,raw_raw,145,1.0765361061773775,3105741.19523815,176934.24454816524,0.3448275862068966,147.0,0.24321180423337393
TARGET_DFC_MI_6.01_ITR_T3,FCO,_ITR_T3,GradientBoosting,raw_raw,120,1.226491892355918,625151.1706631891,178089.59571811307,0.39166666666666666,122.0,0.19142095971405426
TARGET_DRE_3.11_DFP,Lucro Líquido,_DFP,GradientBoosting,raw_raw,165,0.6210602069836937,-1376482.523997295,-19542.203208043822,0.509090909090909,169.0,0.7760438415462192
TARGET_DRE_3.11_ITR_T1,Lucro Líquido,_ITR_T1,GradientBoosting,raw_raw,193,0.7089978996215682,1778836.7921853994,44869.320193430525,0.41450777202072536,197.0,0.5989868802238558
TARGET_DRE_3.11_ITR_T2,Lucro Líquido,_ITR_T2,GradientBoosting,raw_raw,145,0.9006046667732229,2796158.3003824037,77969.854609134,0.4206896551724138,149.0,0.5224799911958179
TARGET_DRE_3.11_ITR_T3,Lucro Líquido,_ITR_T3,GradientBoosting,raw_raw,120,1.0125978000244864,3153701.929208433,189970.1660640331,0.3,124.0,0.39021110581017193
TARGET_BPP_2.01_DFP,Passivo Circulante,_DFP,GradientBoosting,raw_raw,165,0.22886619615929793,3952790.3239309136,357497.4248362584,0.3333333333333333,169.0,0.8233462999119525
TARGET_BPP_2.01_ITR_T1,Passivo Circulante,_ITR_T1,GradientBoosting,raw_raw,193,0.12354457685200555,1019678.8179506278,20459.890726050362,0.47668393782383417,197.0,1.0009747565197125
TARGET_BPP_2.01_ITR_T2,Passivo Circulante,_ITR_T2,RandomForest,raw_raw,145,0.1319126048212225,1597746.787860285,104748.89539096085,0.4413793103448276,149.0,0.9969168675200626
TARGET_BPP_2.01_ITR_T3,Passivo Circulante,_ITR_T3,RandomForest,raw_raw,120,0.12167591381439502,1215413.5559709796,43716.58572419768,0.49166666666666664,124.0,0.9894326099072015
TARGET_BPP_2_DFP,Passivo Total,_DFP,GradientBoosting,raw_raw,165,0.1830496755531431,21107230.299536336,923215.8852444142,0.3151515151515151,169.0,0.8778265058715247
TARGET_BPP_2_ITR_T1,Passivo Total,_ITR_T1,RandomForest,raw_raw,193,0.09969813841168276,11181865.61993044,1073875.703276977,0.36787564766839376,197.0,1.0128580715921005
TARGET_BPP_2_ITR_T2,Passivo Total,_ITR_T2,GradientBoosting,raw_raw,145,0.0750613932587303,6807142.275841205,448911.6075541675,0.3586206896551724,149.0,0.9408936582067199
TARGET_BPP_2_ITR_T3,Passivo Total,_ITR_T3,GradientBoosting,raw_raw,120,0.06455566877678859,7028501.473561465,45652.47539495304,0.48333333333333334,124.0,0.9379979861558281
TARGET_BPP_2.03_DFP,Patrimônio Líquido,_DFP,GradientBoosting,raw_raw,165,0.18901748123962456,6831322.475282726,489944.49600291625,0.32727272727272727,169.0,0.820712025923754
TARGET_BPP_2.03_ITR_T1,Patrimônio Líquido,_ITR_T1,RandomForest,raw_raw,193,0.10331685311936052,2945570.990203411,-39959.25404000888,0.5233160621761658,197.0,0.9258959651498763
TARGET_BPP_2.03_ITR_T2,Patrimônio Líquido,_ITR_T2,GradientBoosting,raw_raw,145,0.0808053460129079,1155728.0682836357,-8009.299947086722,0.503448275862069,149.0,0.9940797566227412
TARGET_BPP_2.03_ITR_T3,Patrimônio Líquido,_ITR_T3,GradientBoosting,raw_raw,120,0.09440537922504354,1694838.4552413255,-6411.983075641561,0.5083333333333333,124.0,0.9948358051688301
TARGET_DRE_3.01_DFP,Receita Líquida,_DFP,GradientBoosting,raw_raw,165,0.20633604902467317,9634025.493447455,864741.3784545418,0.28484848484848485,169.0,0.5649102285353226
TARGET_DRE_3.01_ITR_T1,Receita Líquida,_ITR_T1,GradientBoosting,raw_raw,193,0.1350718341754347,3818312.7405571016,348533.96552853356,0.33678756476683935,197.0,0.924852060829689
TARGET_DRE_3.01_ITR_T2,Receita Líquida,_ITR_T2,GradientBoosting,raw_raw,145,0.1300148637643387,929652.0752372232,94233.3832411347,0.43448275862068964,149.0,1.1187097288545076
TARGET_DRE_3.01_ITR_T3,Receita Líquida,_ITR_T3,GradientBoosting,raw_raw,120,0.12558593212491867,470686.59706306993,-19702.44643491041,0.5083333333333333,124.0,1.0655929563808682
